charid=32,x=2085,y=1684,width=104,height=420,xoffset=0,yoffset=0,xadvance=104,page=0,chnl=15
charid=33,x=1980,y=1684,width=104,height=420,xoffset=0,yoffset=0,xadvance=104,page=0,chnl=15
charid=34,x=0,y=1684,width=133,height=420,xoffset=0,yoffset=0,xadvance=133,page=0,chnl=15
charid=35,x=1104,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=36,x=1314,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=37,x=739,y=0,width=334,height=420,xoffset=0,yoffset=0,xadvance=334,page=0,chnl=15
charid=38,x=2562,y=421,width=251,height=420,xoffset=0,yoffset=0,xadvance=251,page=0,chnl=15
charid=39,x=2564,y=1684,width=72,height=420,xoffset=0,yoffset=0,xadvance=72,page=0,chnl=15
charid=40,x=518,y=1684,width=125,height=420,xoffset=0,yoffset=0,xadvance=125,page=0,chnl=15
charid=41,x=896,y=1684,width=125,height=420,xoffset=0,yoffset=0,xadvance=125,page=0,chnl=15
charid=42,x=3946,y=0,width=146,height=420,xoffset=0,yoffset=0,xadvance=146,page=0,chnl=15
charid=43,x=663,y=842,width=220,height=420,xoffset=0,yoffset=0,xadvance=220,page=0,chnl=15
charid=44,x=1770,y=1684,width=104,height=420,xoffset=0,yoffset=0,xadvance=104,page=0,chnl=15
charid=45,x=770,y=1684,width=125,height=420,xoffset=0,yoffset=0,xadvance=125,page=0,chnl=15
charid=46,x=1665,y=1684,width=104,height=420,xoffset=0,yoffset=0,xadvance=104,page=0,chnl=15
charid=47,x=1560,y=1684,width=104,height=420,xoffset=0,yoffset=0,xadvance=104,page=0,chnl=15
charid=48,x=1524,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=49,x=1734,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=50,x=1944,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=51,x=2154,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=52,x=2364,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=53,x=2574,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=54,x=3834,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=55,x=2784,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=56,x=2994,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=57,x=3204,y=842,width=209,height=420,xoffset=0,yoffset=0,xadvance=209,page=0,chnl=15
charid=58,x=1455,y=1684,width=104,height=420,xoffset=0,yoffset=0,xadvance=104,page=0,chnl=15
